ETUNIMI;YHTEENSÄ
Juhani;290988
Olavi;146948
Antero;142209
Tapani;137561
Johannes;137235
Tapio;117471
Mikael;101339
Kalevi;101022
Matti;83869
Pekka;80932
Petteri;73261
Ilmari;71362
Sakari;65895
Matias;62779
Antti;56805
Juha;54874
Heikki;53995
Kristian;52035
Timo;50213
Kari;46536
Mikko;46096
Markus;43338
Jukka;41136
Jari;41061
Kalervo;40885
Markku;40229
Aleksi;39143
Jaakko;39130
Petri;37223
Mika;36757
Erkki;36624
Oskari;36197
Veikko;35980
Lauri;35817
Henrik;35488
Hannu;35433
Seppo;35091
Ville;33146
Ensio;31171
Pentti;30898
Ari;30402
Janne;30090
Marko;29796
Valtteri;29482
Tuomas;28111
Sami;27740
Juho;26594
Eero;26573
Martti;26568
Erik;24960
Jorma;24816
Jani;24200
Samuli;23607
Elias;23499
Jussi;22599
Harri;22522
Risto;22408
Raimo;22123
Eemeli;21914
Teemu;21750
Pertti;21228
Veli;21119
Jarmo;20910
Onni;20599
Esa;20513
Esko;20276
Eino;20264
Pasi;19478
Jouni;19439
Arto;19302
Jouko;19030
Reijo;18867
Vesa;18677
Samuel;18648
Olli;18604
Niko;18423
Paavo;18331
Kalle;18103
Joonas;18049
Toni;17607
Armas;17200
Toivo;17159
Johan;16654
Kimmo;16314
Santeri;16261
Viljami;16259
Tomi;16109
Emil;15669
Henri;15454
Joni;15327
Leo;15300
Tero;15112
Tommi;15076
Pauli;14898
Väinö;14808
Ilkka;14725
Eetu;14338
Uolevi;13849
Otto;13576
Ilari;13482
Oliver;13412
Daniel;13405
Sebastian;13266
Aulis;13174
Tuomo;13054
Jarkko;12636
Jalmari;12487
Alexander;12392
Anton;12217
Aleksanteri;12170
Jesse;12156
Eemil;11911
Joona;11662
Simo;11014
Keijo;10880
Vilho;10878
Allan;10810
Einari;10804
Akseli;10752
Kullervo;10725
Arttu;10710
Jere;10590
Kauko;10568
Reino;10535
Lasse;10478
Juuso;10434
Jyrki;10096
Mauri;10086
Christian;10036
Kaarlo;9993
Niilo;9731
Joel;9705
Julius;9544
Jan;9466
Aukusti;9444
Benjamin;9426
Niklas;9364
Yrjö;9322
Aarne;9262
Leevi;9219
Kai;9216
Aki;8898
Tauno;8850
Juhana;8777
Artturi;8705
Miika;8685
Riku;8494
Karl;8447
Teuvo;8320
Elmeri;8289
Rauno;8132
Peter;8038
Jarno;7944
Rasmus;7868
Hermanni;7791
Eerik;7686
Veeti;7637
Arvo;7608
Topias;7596
Vilhelm;7564
Ossi;7548
Aaro;7498
Osmo;7399
Viljo;7363
Veijo;7301
Taisto;7294
Valdemar;7286
Joonatan;7250
Aatos;7167
Rainer;7098
Ismo;7053
Anssi;6943
Robert;6913
Patrik;6804
Aimo;6778
Henry;6693
Anders;6692
Roope;6560
Atte;6529
Asko;6521
Henrikki;6311
Eelis;6283
Taneli;6076
Edvard;5923
Miro;5885
Aapo;5839
Samu;5770
Ahti;5717
Lassi;5699
Mauno;5683
Iisakki;5613
Oiva;5602
Aaron;5594
Kim;5528
Kustaa;5498
Oskar;5479
Tuukka;5466
Lars;5410
Verneri;5390
Aarre;5333
Vihtori;5329
Kasper;5312
Andreas;5223
Rafael;5170
Alpo;5158
Tarmo;5127
Alex;5119
Topi;5080
Fredrik;5068
Miikka;5024
Wilhelm;5003
August;4970
Kasperi;4919
Unto;4855
Albert;4846
Vili;4834
Urho;4767
Sulo;4715
Aatu;4703
Jimi;4679
Herman;4671
Ilpo;4670
Konsta;4667
Nikolai;4659
Sauli;4631
Roni;4598
Kyösti;4571
Tatu;4569
Joakim;4513
Jyri;4494
Gunnar;4487
Kaj;4411
Gustav;4383
Michael;4345
Tom;4297
Carl;4263
Saku;4241
Max;4234
Severi;4203
Veikka;4179
Iivari;4159
Heimo;4144
Veli-Matti;4085
William;4046
Rikhard;4040
Hans;3824
Arvi;3766
Iiro;3749
Voitto;3747
Alvar;3727
Pellervo;3696
Martin;3670
Pietari;3667
Rami;3663
Jonne;3657
John;3642
Eeli;3635
Thomas;3629
Hugo;3537
Hannes;3522
Axel;3520
Olof;3496
Pyry;3468
Viktor;3464
Frans;3438
Jeremias;3429
Harry;3428
Göran;3393
Juha-Pekka;3384
Miska;3370
Sampo;3349
Paul;3341
Otso;3328
Teppo;3308
Leif;3296
Stefan;3211
Jami;3201
Nils;3172
Lenni;3166
Nico;3161
Aku;3144
Oscar;3107
Jukka-Pekka;3090
Päiviö;3072
Aarno;2999
Gabriel;2988
Paavali;2974
Tony;2949
Perttu;2934
Arvid;2875
Miko;2846
Aleksander;2845
Luukas;2799
Anselmi;2794
Veli-Pekka;2783
Tomas;2749
Santtu;2746
Luka;2729
Krister;2729
Untamo;2712
Urpo;2709
Alfred;2708
Jonas;2696
Edvin;2640
Richard;2596
Christer;2580
Nestori;2576
Eljas;2575
Terho;2574
Jasper;2567
Robin;2545
Panu;2542
Sven;2501
Eerikki;2478
Klaus;2449
Lennart;2449
Viljam;2423
Nooa;2409
Marcus;2409
Magnus;2394
Mathias;2380
Nuutti;2366
Juha-Matti;2359
Waltteri;2352
Bengt;2334
Patrick;2318
Jonathan;2318
Olli-Pekka;2303
Stig;2284
Kenneth;2266
Aarni;2256
Noel;2255
Reima;2251
Kaleva;2233
Ali;2224
Jesper;2212
Mattias;2200
Lucas;2199
Eevert;2191
Rolf;2163
Aapeli;2159
Eliel;2157
Teijo;2144
Evert;2118
Alarik;2115
Tino;2091
Ossian;2086
Einar;2071
Peetu;2033
Mats;2028
Kurt;2013
Petter;2008
Lukas;1998
Sisu;1990
Mohamed;1977
Lari;1961
Kaapo;1948
Justus;1937
Asser;1921
Ukko;1907
Tommy;1889
Per;1881
Antton;1873
Håkan;1869
Tenho;1864
Eric;1862
Anttoni;1848
Taavi;1845
Helge;1830
Taavetti;1830
Tobias;1812
Åke;1795
Karri;1787
David;1767
Manu;1764
Valter;1761
Ari-Pekka;1747
Felix;1736
Gustaf;1735
Bo;1726
Leonard;1720
Verner;1695
Roger;1688
Ralf;1682
Björn;1681
Erno;1675
Simon;1659
Kaarle;1655
Heino;1643
Aleksis;1627
Luca;1626
Jori;1621
Sulevi;1617
Elmo;1602
Jonatan;1557
Kosti;1554
Birger;1530
Valentin;1529
Touko;1528
Bernhard;1508
Jerry;1500
Dan;1490
Christoffer;1478
Albin;1468
Kimi;1457
Jalo;1454
Rauli;1452
Victor;1449
Aslak;1446
Jan-Erik;1437
Tuure;1437
Raine;1425
Elis;1421
Börje;1405
Timi;1395
Vertti;1394
Adam;1390
Casper;1386
Nikolas;1366
Salomon;1360
Ulf;1349
Ingmar;1347
Bror;1347
Georg;1342
Ilmo;1336
Edward;1332
Jari-Pekka;1328
Harald;1319
Auvo;1308
Jooa;1288
Jarl;1287
Iikka;1269
Eemi;1267
Ahmed;1264
Taito;1259
Alf;1247
Linus;1240
Mico;1234
Jiri;1232
Waldemar;1214
Petrus;1213
Kristoffer;1205
Kevin;1183
Väinämö;1181
Arthur;1175
Rudolf;1170
Sampsa;1160
Alvari;1150
Arne;1150
Adolf;1145
Valto;1144
Vilhelmi;1141
Isak;1114
Kasimir;1114
Milo;1100
Visa;1096
Jens;1095
Altti;1092
Walter;1088
Nicolas;1082
Uljas;1065
Christopher;1051
Erkka;1049
Filip;1034
Kjell;1033
Iisak;1026
Helmer;1023
Torsten;1018
Holger;1013
Tor;1008
Emanuel;1001
Ville-Veikko;993
Niki;990
Niclas;988
Bertel;987
James;985
Nicholas;982
Isto;977
André;974
Jooseppi;963
Elia;963
Ragnar;961
Ole;940
Aatto;936
Marco;936
Noah;934
Hjalmar;932
Vincent;925
Eevertti;924
Adrian;923
Paulus;919
Ben;913
Viking;903
Artur;896
Torsti;893
Bjarne;893
Usko;891
Tiitus;886
Jose;885
Konstantin;877
Joose;869
Jakob;868
Aksel;851
Benjam;848
Asseri;848
Johnny;843
Simeon;843
Okko;842
Cristian;834
Antonio;834
Jon;834
Teo;833
Jimmy;832
Roy;832
Uuno;823
Wiljami;817
Elmer;811
Sakarias;811
Vesa-Matti;805
Leon;802
Ivar;798
Miikkael;796
Hemmo;787
Jussi-Pekka;787
Yrjänä;785
Ove;781
Valfrid;780
Osvald;776
Sasu;775
Dennis;772
Leander;765
Oula;761
Andrei;758
Alfons;753
Maximilian;748
Kauno;744
Olav;741
Teodor;735
Gösta;725
Benjami;723
Mauritz;719
Arimo;718
Niila;713
Anselm;704
Roland;703
Aron;700
Boris;700
Rune;697
Valtter;697
Turo;696
Noa;695
Elliot;694
Anthony;691
Atso;691
Frank;689
Jim;687
Miikael;685
Marius;680
Into;674
Jörgen;669
Manuel;665
Tim;664
Ilja;663
Runar;659
Ylermi;658
Jonni;657
Aamos;655
Dimitri;653
Ferdinand;650
Toimi;645
Liam;644
Antinpoika;643
Ernst;637
Mio;635
Bruno;635
Mark;632
Guy;627
Erland;623
Raino;623
Joachim;619
Rene;618
Jeremia;616
Herbert;612
Evald;612
Immanuel;611
Ruben;611
Valo;609
Romeo;608
Reko;607
Casimir;607
Bertil;605
Arno;605
Nestor;603
Iivo;602
Micael;600
Jesperi;597
Venni;597
Amos;589
Petja;585
Yngve;585
Sten;577
Eugen;577
Philip;572
Werner;571
Matts;571
Hassan;570
Sameli;569
Sam;569
Tage;568
Eppu;565
Omar;563
Fabian;550
Julian;550
Otava;548
Mirko;546
Orvo;545
Charles;544
Pekko;543
Pontus;543
Vesa-Pekka;540
Miki;538
Juri;538
Ville-Pekka;537
Aleksei;536
Juhanpoika;534
Antto;528
Arnold;527
Matinpoika;526
Soini;526
Ibrahim;526
Sylvester;523
Vladimir;521
Klas;518
Theo;517
Zacharias;516
Reinhold;514
Nicklas;514
Valde;512
Salomo;512
Dani;510
Aatami;510
Jacob;509
Kent;509
Raineri;508
Jean;508
Jasu;502
Joosua;502
Arsi;500
Hilding;499
Torbjörn;499
Abdi;493
Kaino;492
Karl-Erik;489
Mohammed;486
Kari-Pekka;483
Antti-Jussi;482
Esaias;481
Ingemar;478
Torvald;474
Maunu;473
Turkka;472
Kaius;471
Jare;470
Helmeri;467
Torolf;465
Ronny;463
Osku;462
Mohammad;462
Svante;462
Ludvig;460
Aadolf;454
Villiam;450
Samppa;449
Ivan;445
Abdullahi;445
Antti-Pekka;444
Wiljam;444
Mikonpoika;444
Theodor;440
Asmo;439
Sergei;439
Wille;439
Neo;434
Jaro;434
Sigurd;433
Hemming;430
Vilppu;429
Sune;426
Mainio;424
Per-Erik;422
Hemminki;422
Jonny;419
Karl-Johan;417
Andrew;417
Mertsi;415
Mårten;414
Folke;413
Kusti;410
Abdirahman;409
Aleksandr;409
Urmas;408
Knut;408
Josef;407
Akusti;407
Ola;404
Karim;400
Berndt;397
Joseph;395
Aake;394
Sixten;393
Mikke;391
Jalmar;391
Timonpoika;390
Kaspian;386
Erkko;386
Aappo;382
Bernt;380
Igor;379
Valio;377
Maxim;374
Pirkka;373
Herkko;372
Augusti;372
Lars-Erik;369
Carl-Johan;367
Pietu;367
Joa;366
Ville-Petteri;366
Nino;365
Jukanpoika;362
Sture;361
Joshua;360
George;359
Aarto;359
Edwin;356
Hussein;355
Werneri;352
Abraham;352
Heikinpoika;347
Kuisma;345
Jack;344
Ohto;344
Pekanpoika;344
René;342
Ernesti;342
Pete;340
Petro;340
Jarinpoika;339
Karo;338
Ingvar;337
Amir;336
Matteus;335
Van;335
Elo;334
Nikodemus;333
Rickard;332
Kennet;332
Pavel;330
Mitja;330
Immo;330
Matthew;329
Kristofer;328
Sigfrid;328
Benny;327
Jason;327
Aate;326
Alvin;325
Staffan;323
Maurits;322
Esa-Pekka;321
Maximus;321
Ingvald;321
Eeti;321
Konrad;321
Alexis;312
Jetro;309
Jaani;308
Sören;306
Roman;306
Totti;305
Olle;304
Manne;304
Ville-Matti;304
Alexandre;303
Jari-Matti;302
Tore;302
Hannu-Pekka;301
Ahmad;301
Denis;300
Leonardo;299
Dominic;298
Rurik;296
Leopold;295
Elof;293
Carlos;293
Levi;293
Nikke;292
Uno;292
Ari-Matti;292
Dick;291
Samir;291
Nikita;291
Fjalar;290
Juho-Pekka;287
Hannunpoika;287
Edgar;287
Karinpoika;285
Hemmi;284
Yusuf;283
Alexi;283
Raul;280
Ian;279
Masi;278
Huugo;276
Raymond;276
Rauni;275
Eskil;275
Conny;274
Mihail;273
Kare;269
Selim;269
Jake;268
Sigvard;268
Timo-Pekka;267
Mustafa;267
Ronnie;267
Ted;266
Arttur;266
Veini;264
Gerhard;264
Adiel;264
Wäinö;263
Muhammad;261
Said;261
Rony;261
Frej;260
Caj;260
Kristo;259
Ismail;258
Peik;258
Alec;258
Pessi;257
Amadeus;257
Sammeli;255
Jermu;254
Renne;253
Elvis;253
Jaska;251
Glenn;250
Terno;250
Thor;250
Greger;249
Joe;248
Feliks;248
Amin;248
Patric;247
Ville-Valtteri;246
Vidar;245
Oleg;245
Roberto;245
Isac;244
Jali;243
Jone;243
Ronald;242
Junior;242
Jasperi;242
Maksim;242
Jussinpoika;241
Sven-Erik;241
Atro;241
Alan;241
Jasse;240
Uula;240
Mario;240
Wilmer;239
Kuutti;239
Kerkko;238
Ernest;236
Mohamud;236
Emilio;236
Olli-Matti;235
Markunpoika;235
Aleks;235
Milton;233
Emmanuel;233
Mike;233
Ami;233
Alvi;232
Ture;231
Jaakoppi;230
Andre;230
Eddie;228
Michel;228
Tristan;226
Marc;226
Dmitri;225
Miio;225
Karl-Gustav;224
