ETUNIMI;YHTEENSÄ
Maria;199500
Helena;127149
Anneli;125331
Johanna;112688
Kaarina;102032
Marjatta;93364
Hannele;86842
Kristiina;74647
Liisa;72122
Emilia;64730
Elina;64530
Annikki;61805
Tuulikki;60593
Maarit;57803
Susanna;56767
Sofia;55520
Leena;50044
Katariina;47503
Anna;46894
Marja;45637
Sinikka;45559
Inkeri;42857
Riitta;39867
Kyllikki;39495
Aino;35984
Tuula;35953
Anne;35228
Päivi;34033
Orvokki;33992
Ritva;33770
Tellervo;33365
Maija;32755
Pirjo;30657
Karoliina;30047
Pauliina;29840
Minna;29753
Irmeli;29559
Sari;29512
Eeva;29242
Tiina;27694
Pirkko;27013
Laura;26906
Elisabet;26870
Marika;26549
Tarja;26545
Eveliina;26088
Anja;25918
Satu;25193
Eila;24868
Seija;24650
Mari;24398
Hanna;24348
Marita;24131
Heidi;23900
Raija;23829
Sirpa;23704
Sisko;23455
Irene;23417
Annika;23259
Jaana;23064
Anita;22932
Sanna;22616
Eija;22173
Kirsi;21850
Marianne;21655
Merja;21213
Ilona;21155
Julia;20964
Katriina;20868
Sirkka;20761
Ulla;20673
Arja;20540
Terttu;20328
Paula;20067
Kaisa;19971
Marketta;19955
Amanda;19925
Marjaana;19679
Anni;19646
Tuulia;19368
Elisabeth;19057
Elisa;18997
Matilda;18737
Jenni;18029
Linnea;18003
Hilkka;17366
Katja;17122
Helmi;17097
Kirsti;17001
Mirjami;16902
Heli;16715
Raili;16571
Iida;16412
Olivia;16290
Mirja;16195
Nina;15886
Emma;15605
Aurora;15529
Katri;15404
Anniina;15053
Birgitta;15005
Maaria;14930
Kaija;14671
Sara;14035
Suvi;13878
Ida;13639
Marjut;13599
Riikka;13536
Anu;13519
Saara;13243
Tuija;13210
Kerttu;12965
Ella;12933
Lea;12874
Irma;12750
Aleksandra;12643
Aila;12625
Irja;12509
Niina;12476
Pia;12375
Leila;12156
Kristina;11886
Alexandra;11836
Marja-Leena;11836
Marjo;11768
Noora;11678
Tanja;11588
Jenna;11513
Margareta;11500
Aulikki;11453
Henna;11350
Mirjam;11332
Kati;11071
Hellevi;11022
Veera;10928
Marja-Liisa;10833
Anna-Liisa;10743
Lotta;10699
Maritta;10373
Outi;10259
Elsa;10143
Taina;10058
Elli;10003
Mervi;9886
Päivikki;9883
Milla;9812
Ellen;9791
Aune;9779
Emmi;9717
Helinä;9692
Miia;9612
Virpi;9604
